Age,Daily Social Media Usage(hours),Number of Social Media Platforms,Frequency of Posts,Frequency of Checking Notifications,Self Reported Addiction Score,Cyberbullying Experience,Self Esteem Score,Sleep Quality,Anxiety Score,Social Media Fatigue Score,Mental Health Status,Gender
35.0,12.0,2.0,3.0,2.0,10.0,0.0,1.0,6.0,7.0,10.0,0.0,Female
30.0,12.0,2.0,2.0,0.0,10.0,0.0,1.0,2.0,7.0,9.0,0.0,Female
16.0,12.0,2.0,3.0,1.0,10.0,0.0,1.0,5.0,8.0,8.0,0.0,Female
30.0,12.0,2.0,4.0,1.0,10.0,0.0,1.0,8.0,8.0,10.0,0.0,Female
30.0,12.0,2.0,2.0,2.0,10.0,0.0,1.0,7.0,8.0,10.0,0.0,Male
30.0,12.0,4.0,1.0,1.0,10.0,0.0,1.0,10.0,9.0,8.0,0.0,Female
16.0,12.0,4.0,1.0,2.0,10.0,0.0,1.0,7.0,9.0,8.0,0.0,Male
40.0,12.0,2.0,2.0,0.0,10.0,1.0,1.0,6.0,9.0,8.0,0.0,Female
25.0,12.0,6.0,1.0,2.0,10.0,0.0,1.0,4.0,9.0,10.0,0.0,Male
22.0,12.0,1.0,1.0,1.0,10.0,0.0,1.0,4.0,9.0,9.0,0.0,Female
30.0,12.0,2.0,3.0,1.0,10.0,0.0,1.0,8.0,9.0,10.0,0.0,Female
45.0,12.0,1.0,1.0,0.0,10.0,0.0,1.0,7.0,9.0,8.0,0.0,Other
30.0,12.0,5.0,1.0,2.0,10.0,0.0,1.0,4.0,9.0,9.0,0.0,Male
30.0,12.0,5.0,3.0,1.0,10.0,0.0,1.0,7.0,9.0,9.0,0.0,Female
25.0,12.0,2.0,2.0,0.0,10.0,0.0,1.0,4.0,9.0,9.0,0.0,Male
25.0,12.0,3.0,2.0,1.0,10.0,0.0,1.0,8.0,9.0,10.0,0.0,Male
40.0,12.0,4.0,2.0,1.0,10.0,1.0,1.0,5.0,9.0,9.0,0.0,Female
30.0,12.0,2.0,1.0,2.0,10.0,0.0,1.0,1.0,9.0,9.0,0.0,Male
22.0,12.0,3.0,3.0,0.0,10.0,0.0,1.0,6.0,9.0,8.0,0.0,Female
22.0,12.0,6.0,1.0,2.0,10.0,0.0,1.0,5.0,9.0,9.0,0.0,Male
30.0,12.0,1.0,2.0,2.0,10.0,0.0,1.0,9.0,9.0,8.0,0.0,Female
18.0,12.0,2.0,2.0,2.0,10.0,0.0,1.0,10.0,9.0,10.0,0.0,Female
30.0,12.0,3.0,3.0,0.0,10.0,1.0,1.0,8.0,9.0,10.0,0.0,Male
18.0,12.0,3.0,2.0,0.0,10.0,0.0,1.0,7.0,9.0,9.0,0.0,Female
35.0,12.0,4.0,3.0,2.0,10.0,0.0,1.0,3.0,9.0,9.0,0.0,Male
