Age,Gender,Daily Social Media Usage(hours),Number of Social Media Platforms,Frequency of Posts,Frequency of Checking Notifications,Self Reported Addiction Score,Cyberbullying Experience,Self Esteem Score,Sleep Quality,Anxiety Score,Social Media Fatigue Score,Mental Health Status
35,Female,12,2,3,2,10,0,1,6,7,10,0
30,Female,12,2,2,0,10,0,1,2,7,9,0
16,Female,12,2,3,1,10,0,1,5,8,8,0
30,Female,12,2,4,1,10,0,1,8,8,10,0
30,Male,12,2,2,2,10,0,1,7,8,10,0
30,Female,12,4,1,1,10,0,1,10,9,8,0
16,Male,12,4,1,2,10,0,1,7,9,8,0
40,Female,12,2,2,0,10,1,1,6,9,8,0
25,Male,12,6,1,2,10,0,1,4,9,10,0
22,Female,12,1,1,1,10,0,1,4,9,9,0
30,Female,12,2,3,1,10,0,1,8,9,10,0
45,Other,12,1,1,0,10,0,1,7,9,8,0
30,Male,12,5,1,2,10,0,1,4,9,9,0
30,Female,12,5,3,1,10,0,1,7,9,9,0
25,Male,12,2,2,0,10,0,1,4,9,9,0
25,Male,12,3,2,1,10,0,1,8,9,10,0
40,Female,12,4,2,1,10,1,1,5,9,9,0
30,Male,12,2,1,2,10,0,1,1,9,9,0
22,Female,12,3,3,0,10,0,1,6,9,8,0
22,Male,12,6,1,2,10,0,1,,9,9,0
30,Female,12,1,2,2,10,0,1,9,9,8,0
18,Female,12,2,2,2,10,0,1,10,9,10,0
30,Male,12,3,3,0,10,1,1,8,9,10,0
18,Female,12,3,2,0,10,0,1,7,9,9,0
35,Male,12,4,3,2,10,0,1,3,9,9,0
30,Female,12,1,0,0,10,0,1,7,9,8,0
40,Female,12,3,1,0,10,0,1,5,9,9,0
22,Female,12,1,0,1,10,0,1,9,9,9,0
25,Female,12,3,3,0,10,0,1,5,9,8,0
30,Male,12,2,2,2,10,1,1,4,9,9,0
35,Male,12,2,0,1,10,0,1,6,9,10,0
22,Male,12,3,2,1,10,0,1,6,9,9,0
30,Other,12,2,1,1,10,0,1,10,9,9,0
35,Male,12,3,2,1,10,0,1,9,9,8,0
30,Male,12,3,3,2,10,0,1,8,9,10,0
30,Female,12,3,2,2,10,0,1,6,9,10,0
22,Male,12,4,1,1,10,0,1,3,9,10,0
18,Female,12,3,3,1,10,0,1,8,10,8,0
25,Other,12,5,2,2,10,0,1,7,10,8,0
22,Female,12,5,1,1,10,1,1,4,10,10,0
16,Female,12,1,2,0,10,0,1,6,10,9,0
35,Male,12,5,0,2,10,1,1,5,10,7,0
18,Male,12,3,2,0,10,0,1,6,10,8,0
35,Female,12,4,3,1,10,0,1,3,10,9,0
25,Female,12,3,2,1,10,0,1,3,10,10,0
