Age,Gender,Daily Social Media Usage(hours),Number of Social Media Platforms,Frequency of Posts,Frequency of Checking Notifications,Self Reported Addiction Score,Cyberbullying Experience,Self Esteem Score,Sleep Quality,Anxiety Score,Social Media Fatigue Score,Mental Health Status
35,Female,12,2,Often,Frequently,10,0,1,6,7,10,Poor
30,Female,12,2,Sometimes,Rarely,10,0,1,2,7,9,Poor
16,Female,12,2,Often,Occasionally,10,0,1,5,8,8,Poor
30,Female,12,2,Always,Occasionally,10,0,1,8,8,10,Poor
30,Male,12,2,Sometimes,Frequently,10,0,1,7,8,10,Poor
30,Female,12,4,Rarely,Occasionally,10,0,1,10,9,8,Poor
16,Male,12,4,Rarely,Frequently,10,0,1,7,9,8,Poor
40,Female,12,2,Sometimes,Rarely,10,1,1,6,9,8,Poor
25,Male,12,6,Rarely,Frequently,10,0,1,4,9,10,Poor
22,Female,12,1,Rarely,Occasionally,10,0,1,4,9,9,Poor
30,Female,12,2,Often,Occasionally,10,0,1,8,9,10,Poor
45,Other,12,1,Rarely,Rarely,10,0,1,7,9,8,Poor
30,Male,12,5,Rarely,Frequently,10,0,1,4,9,9,Poor
30,Female,12,5,Often,Occasionally,10,0,1,7,9,9,Poor
25,Male,12,2,Sometimes,Rarely,10,0,1,4,9,9,Poor
25,Male,12,3,Sometimes,Occasionally,10,0,1,8,9,10,Poor
40,Female,12,4,Sometimes,Occasionally,10,1,1,5,9,9,Poor
30,Male,12,2,Rarely,Frequently,10,0,1,1,9,9,Poor
22,Female,12,3,Often,Rarely,10,0,1,6,9,8,Poor
22,Male,12,6,Rarely,Frequently,10,0,1,,9,9,Poor
30,Female,12,1,Sometimes,Frequently,10,0,1,9,9,8,Poor
18,Female,12,2,Sometimes,Frequently,10,0,1,10,9,10,Poor
30,Male,12,3,Often,Rarely,10,1,1,8,9,10,Poor
18,Female,12,3,Sometimes,Rarely,10,0,1,7,9,9,Poor
35,Male,12,4,Often,Frequently,10,0,1,3,9,9,Poor
30,Female,12,1,Never,Rarely,10,0,1,7,9,8,Poor
40,Female,12,3,Rarely,Rarely,10,0,1,5,9,9,Poor
22,Female,12,1,Never,Occasionally,10,0,1,9,9,9,Poor
25,Female,12,3,Often,Rarely,10,0,1,5,9,8,Poor
30,Male,12,2,Sometimes,Frequently,10,1,1,4,9,9,Poor
35,Male,12,2,Never,Occasionally,10,0,1,6,9,10,Poor
22,Male,12,3,Sometimes,Occasionally,10,0,1,6,9,9,Poor
30,Other,12,2,Rarely,Occasionally,10,0,1,10,9,9,Poor
35,Male,12,3,Sometimes,Occasionally,10,0,1,9,9,8,Poor
30,Male,12,3,Often,Frequently,10,0,1,8,9,10,Poor
30,Female,12,3,Sometimes,Frequently,10,0,1,6,9,10,Poor
22,Male,12,4,Rarely,Occasionally,10,0,1,3,9,10,Poor
18,Female,12,3,Often,Occasionally,10,0,1,8,10,8,Poor
25,Other,12,5,Sometimes,Frequently,10,0,1,7,10,8,Poor
22,Female,12,5,Rarely,Occasionally,10,1,1,4,10,10,Poor
16,Female,12,1,Sometimes,Rarely,10,0,1,6,10,9,Poor
35,Male,12,5,Never,Frequently,10,1,1,5,10,7,Poor
18,Male,12,3,Sometimes,Rarely,10,0,1,6,10,8,Poor
35,Female,12,4,Often,Occasionally,10,0,1,3,10,9,Poor
25,Female,12,3,Sometimes,Occasionally,10,0,1,3,10,10,Poor
18,Female,12,6,Sometimes,Occasionally,10,0,1,3,10,10,Poor
30,Female,12,1,Rarely,Occasionally,10,0,1,6,10,9,Poor
45,Female,12,1,Rarely,Occasionally,10,0,1,4,10,7,Poor
50,Male,12,3,Sometimes,Occasionally,10,0,1,3,10,8,Poor
16,Male,12,3,Rarely,Frequently,10,0,1,7,10,10,Poor
40,Male,12,2,Rarely,Rarely,10,0,1,7,10,9,Poor
30,Female,12,4,Rarely,Frequently,10,1,1,4,10,9,Poor
40,Female,12,1,Often,Occasionally,10,1,1,3,10,9,Poor
45,Female,12,5,Rarely,Occasionally,10,0,1,3,10,9,Poor
45,Female,12,3,Sometimes,Rarely,10,0,1,4,10,10,Poor
50,Male,12,1,Sometimes,Occasionally,10,0,1,4,10,10,Poor
25,Male,12,2,Sometimes,Rarely,10,0,1,5,10,10,Poor
40,Female,12,2,Often,Rarely,10,0,1,5,10,10,Poor
35,Female,12,4,Rarely,Rarely,10,1,1,3,10,9,Poor
35,Other,12,1,Never,Frequently,10,0,1,3,10,9,Poor
22,Male,12,5,Sometimes,Rarely,10,1,1,7,10,9,Poor
50,Male,12,3,Sometimes,Occasionally,10,1,1,5,10,9,Poor
40,Female,12,2,Rarely,Rarely,10,0,1,5,10,7,Poor
16,Female,12,4,Rarely,Occasionally,10,0,1,3,10,8,Poor
16,Female,12,2,Rarely,Rarely,10,0,1,7,10,10,Poor
18,Female,12,3,Sometimes,Rarely,10,0,1,10,10,10,Poor
30,Female,12,4,Sometimes,Frequently,10,0,1,7,10,9,Poor
30,Other,12,2,Sometimes,Frequently,10,0,1,4,10,10,Poor
16,Male,12,2,Rarely,Frequently,10,1,1,6,10,9,Poor
50,Female,12,2,Often,Frequently,10,0,1,1,10,10,Poor
18,Female,12,5,Often,Rarely,10,0,1,7,10,10,Poor
50,Male,12,2,Rarely,Frequently,10,0,1,3,10,10,Poor
16,Male,12,1,Rarely,Occasionally,10,0,1,7,10,9,Poor
50,Female,12,3,Sometimes,Frequently,10,0,1,8,10,8,Poor
35,Male,12,2,Rarely,Rarely,10,0,1,6,10,8,Poor
25,Female,12,1,Often,Rarely,10,0,1,5,10,9,Poor
30,Male,12,2,Often,Frequently,10,1,1,5,10,8,Poor
22,Female,12,2,Rarely,Rarely,10,0,1,2,10,10,Poor
22,Female,12,3,Sometimes,Frequently,10,1,1,5,10,8,Poor
25,Male,12,6,Rarely,Occasionally,10,0,1,2,10,8,Poor
35,Female,12,3,Rarely,Occasionally,10,0,1,4,10,8,Poor
16,Female,12,5,Sometimes,Frequently,10,0,1,3,10,9,Poor
45,Female,12,3,Rarely,Occasionally,10,0,1,5,10,8,Poor
45,Female,12,1,Rarely,Occasionally,10,0,1,5,10,10,Poor
30,Male,12,4,Rarely,Occasionally,10,0,1,4,10,10,Poor
50,Male,12,6,Sometimes,Occasionally,10,0,1,3,10,9,Poor
18,Female,12,3,Rarely,Occasionally,10,1,1,2,10,9,Poor
25,Male,12,3,Often,Frequently,10,0,1,6,10,9,Poor
40,Female,12,1,Sometimes,Rarely,10,0,1,7,10,9,Poor
35,Female,12,1,Often,Rarely,10,0,1,6,10,10,Poor
50,Female,12,1,Rarely,Occasionally,10,0,1,9,10,8,Poor
22,Female,12,3,Rarely,Occasionally,10,0,1,8,10,9,Poor
45,Male,12,2,Rarely,Occasionally,10,0,1,4,10,9,Poor
50,Male,12,2,Sometimes,Occasionally,10,0,1,5,10,9,Poor
35,Male,12,5,Often,Occasionally,10,0,1,6,10,10,Poor
30,Female,12,3,Often,Occasionally,10,0,1,6,10,10,Poor
18,Male,12,3,Never,Rarely,10,0,1,10,10,10,Poor
30,Female,12,2,Rarely,Occasionally,10,0,1,6,10,9,Poor
30,Female,12,2,Rarely,Occasionally,10,0,1,3,10,7,Poor
40,Male,12,1,Sometimes,Frequently,10,0,1,5,10,8,Poor
22,Male,12,2,Sometimes,Occasionally,10,1,1,5,10,8,Poor
18,Female,12,6,Rarely,Frequently,10,0,1,9,10,10,Poor
30,Female,12,1,Rarely,Frequently,10,0,1,6,10,10,Poor
25,Other,12,2,Often,Rarely,10,1,1,6,10,9,Poor
30,Female,12,3,Sometimes,Rarely,10,0,1,,10,9,Poor
25,Male,12,1,Sometimes,Occasionally,10,1,1,3,10,9,Poor
22,Female,12,2,Sometimes,Frequently,10,0,1,5,10,10,Poor
