Age,Daily Social Media Usage(hours),Number of Social Media Platforms,Self Reported Addiction Score,Cyberbullying Experience,Self Esteem Score,Sleep Quality,Anxiety Score,Social Media Fatigue Score,Gender,Frequency of Posts,Frequency of Checking Notifications,Mental Health Status
35.0,12.0,2.0,10.0,0.0,1.0,6.0,7.0,10.0,Female,3.0,2.0,0.0
30.0,12.0,2.0,10.0,0.0,1.0,2.0,7.0,9.0,Female,2.0,0.0,0.0
16.0,12.0,2.0,10.0,0.0,1.0,5.0,8.0,8.0,Female,3.0,1.0,0.0
30.0,12.0,2.0,10.0,0.0,1.0,8.0,8.0,10.0,Female,4.0,1.0,0.0
30.0,12.0,2.0,10.0,0.0,1.0,7.0,8.0,10.0,Male,2.0,2.0,0.0
30.0,12.0,4.0,10.0,0.0,1.0,10.0,9.0,8.0,Female,1.0,1.0,0.0
16.0,12.0,4.0,10.0,0.0,1.0,7.0,9.0,8.0,Male,1.0,2.0,0.0
40.0,12.0,2.0,10.0,1.0,1.0,6.0,9.0,8.0,Female,2.0,0.0,0.0
25.0,12.0,6.0,10.0,0.0,1.0,4.0,9.0,10.0,Male,1.0,2.0,0.0
22.0,12.0,1.0,10.0,0.0,1.0,4.0,9.0,9.0,Female,1.0,1.0,0.0
30.0,12.0,2.0,10.0,0.0,1.0,8.0,9.0,10.0,Female,3.0,1.0,0.0
45.0,12.0,1.0,10.0,0.0,1.0,7.0,9.0,8.0,Other,1.0,0.0,0.0
30.0,12.0,5.0,10.0,0.0,1.0,4.0,9.0,9.0,Male,1.0,2.0,0.0
30.0,12.0,5.0,10.0,0.0,1.0,7.0,9.0,9.0,Female,3.0,1.0,0.0
25.0,12.0,2.0,10.0,0.0,1.0,4.0,9.0,9.0,Male,2.0,0.0,0.0
25.0,12.0,3.0,10.0,0.0,1.0,8.0,9.0,10.0,Male,2.0,1.0,0.0
40.0,12.0,4.0,10.0,1.0,1.0,5.0,9.0,9.0,Female,2.0,1.0,0.0
30.0,12.0,2.0,10.0,0.0,1.0,1.0,9.0,9.0,Male,1.0,2.0,0.0
22.0,12.0,3.0,10.0,0.0,1.0,6.0,9.0,8.0,Female,3.0,0.0,0.0
22.0,12.0,6.0,10.0,0.0,1.0,5.0,9.0,9.0,Male,1.0,2.0,0.0
30.0,12.0,1.0,10.0,0.0,1.0,9.0,9.0,8.0,Female,2.0,2.0,0.0
18.0,12.0,2.0,10.0,0.0,1.0,10.0,9.0,10.0,Female,2.0,2.0,0.0
30.0,12.0,3.0,10.0,1.0,1.0,8.0,9.0,10.0,Male,3.0,0.0,0.0
18.0,12.0,3.0,10.0,0.0,1.0,7.0,9.0,9.0,Female,2.0,0.0,0.0
35.0,12.0,4.0,10.0,0.0,1.0,3.0,9.0,9.0,Male,3.0,2.0,0.0
30.0,12.0,1.0,10.0,0.0,1.0,7.0,9.0,8.0,Female,0.0,0.0,0.0
40.0,12.0,3.0,10.0,0.0,1.0,5.0,9.0,9.0,Female,1.0,0.0,0.0
22.0,12.0,1.0,10.0,0.0,1.0,9.0,9.0,9.0,Female,0.0,1.0,0.0
25.0,12.0,3.0,10.0,0.0,1.0,5.0,9.0,8.0,Female,3.0,0.0,0.0
30.0,12.0,2.0,10.0,1.0,1.0,4.0,9.0,9.0,Male,2.0,2.0,0.0
35.0,12.0,2.0,10.0,0.0,1.0,6.0,9.0,10.0,Male,0.0,1.0,0.0
22.0,12.0,3.0,10.0,0.0,1.0,6.0,9.0,9.0,Male,2.0,1.0,0.0
30.0,12.0,2.0,10.0,0.0,1.0,10.0,9.0,9.0,Other,1.0,1.0,0.0
35.0,12.0,3.0,10.0,0.0,1.0,9.0,9.0,8.0,Male,2.0,1.0,0.0
30.0,12.0,3.0,10.0,0.0,1.0,8.0,9.0,10.0,Male,3.0,2.0,0.0
30.0,12.0,3.0,10.0,0.0,1.0,6.0,9.0,10.0,Female,2.0,2.0,0.0
22.0,12.0,4.0,10.0,0.0,1.0,3.0,9.0,10.0,Male,1.0,1.0,0.0
18.0,12.0,3.0,10.0,0.0,1.0,8.0,10.0,8.0,Female,3.0,1.0,0.0
25.0,12.0,5.0,10.0,0.0,1.0,7.0,10.0,8.0,Other,2.0,2.0,0.0
22.0,12.0,5.0,10.0,1.0,1.0,4.0,10.0,10.0,Female,1.0,1.0,0.0
16.0,12.0,1.0,10.0,0.0,1.0,6.0,10.0,9.0,Female,2.0,0.0,0.0
35.0,12.0,5.0,10.0,1.0,1.0,5.0,10.0,7.0,Male,0.0,2.0,0.0
18.0,12.0,3.0,10.0,0.0,1.0,6.0,10.0,8.0,Male,2.0,0.0,0.0
35.0,12.0,4.0,10.0,0.0,1.0,3.0,10.0,9.0,Female,3.0,1.0,0.0
25.0,12.0,3.0,10.0,0.0,1.0,3.0,10.0,10.0,Female,2.0,1.0,0.0
18.0,12.0,6.0,10.0,0.0,1.0,3.0,10.0,10.0,Female,2.0,1.0,0.0
30.0,12.0,1.0,10.0,0.0,1.0,6.0,10.0,9.0,Female,1.0,1.0,0.0
45.0,12.0,1.0,10.0,0.0,1.0,4.0,10.0,7.0,Female,1.0,1.0,0.0
50.0,12.0,3.0,10.0,0.0,1.0,3.0,10.0,8.0,Male,2.0,1.0,0.0
16.0,12.0,3.0,10.0,0.0,1.0,7.0,10.0,10.0,Male,1.0,2.0,0.0
40.0,12.0,2.0,10.0,0.0,1.0,7.0,10.0,9.0,Male,1.0,0.0,0.0
30.0,12.0,4.0,10.0,1.0,1.0,4.0,10.0,9.0,Female,1.0,2.0,0.0
40.0,12.0,1.0,10.0,1.0,1.0,3.0,10.0,9.0,Female,3.0,1.0,0.0
45.0,12.0,5.0,10.0,0.0,1.0,3.0,10.0,9.0,Female,1.0,1.0,0.0
45.0,12.0,3.0,10.0,0.0,1.0,4.0,10.0,10.0,Female,2.0,0.0,0.0
50.0,12.0,1.0,10.0,0.0,1.0,4.0,10.0,10.0,Male,2.0,1.0,0.0
25.0,12.0,2.0,10.0,0.0,1.0,5.0,10.0,10.0,Male,2.0,0.0,0.0
40.0,12.0,2.0,10.0,0.0,1.0,5.0,10.0,10.0,Female,3.0,0.0,0.0
35.0,12.0,4.0,10.0,1.0,1.0,3.0,10.0,9.0,Female,1.0,0.0,0.0
35.0,12.0,1.0,10.0,0.0,1.0,3.0,10.0,9.0,Other,0.0,2.0,0.0
